Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4330.32457298052,5732.83384272528,6821.0860430284,6967.02135319063,7479.29472051884,7402.97500123368,7712.44045813552,8199.90117275608,8273.17902416191,7759.0322606405,7695.59407267269,7203.25665342953,2709.70637486821,3410.33780792656,3993.90648445222,4735.98368396837,5485.52311475727,6623.8636982938,8223.30558448082,7666.90491585576,9124.33513297186,10941.9587174327,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.76021547562492,11.1337784587533,10.4507552602611,4.52936428550646,4.48845718814465,-4.0571874101588,4.2349273014749,6.81602428731496,2.64393279303621,-4.45994497313747,-1.83583890836002,-5.36061482144201,-11.7350226147628,7.85206648528609,8.06406125172241,8.21817074483506,7.51360116567992,,,,,,
Argentina,ARG,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,17310,18711,20036,21357,22744,21507,22502,24435,25601,24733,24303,22863,22885,23223,23340,23618,24428,26166,26595,26171,27871,28412,
