year,gdp
1990,4330.32457298052
1991,5732.83384272528
1992,6821.0860430284
1993,6967.02135319063
1994,7479.29472051884
1995,7402.97500123368
1996,7712.44045813552
1997,8199.90117275608
1998,8273.17902416191
1999,7759.0322606405
2000,7695.59407267269
2001,7203.25665342953
2002,2709.70637486821
2003,3410.33780792656
2004,3993.90648445222
2005,4735.98368396837
2006,5485.52311475727
2007,6623.8636982938
2008,8223.30558448082
2009,7666.90491585576
2010,9124.33513297186
2011,10941.9587174327
